yeah
blue
zalut
         31283971 function calls (31281577 primitive calls) in 28.700 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
     1094    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        5    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
      134    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
      429    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       12    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      878    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1499(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 _datasource.py:518(exists)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        2    0.000    0.000    0.000    0.000 npyio.py:1034(read_data)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
       98    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
      668    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        3    0.000    0.000    0.000    0.000 os.py:681(__setitem__)
       62    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
